strike,option_type,open_interest,previous_open_interest,volume,iv,previous_iv,option_price,previous_option_price,aggressor,gamma,days_to_expiry,expiry
3975,CALL,2112,1985,739,0.2063,0.2023,55.62,53.96,0,,28,2026-08-25
3975,PUT,2112,1985,739,0.2063,0.2023,14.38,13.94,0,,28,2026-08-25
4000,CALL,2987,2807,1045,0.2013,0.1973,49.38,47.89,1,,28,2026-08-25
4000,PUT,9100,8554,3185,0.2013,0.1973,20.62,20.01,1,,28,2026-08-25
4025,CALL,3862,3630,1351,0.1964,0.1924,43.12,41.83,0,,28,2026-08-25
4025,PUT,3862,3630,1351,0.1964,0.1924,26.88,26.07,0,,28,2026-08-25
4050,CALL,4737,4452,1657,0.1915,0.1875,36.88,35.77,1,,28,2026-08-25
4050,PUT,4737,4452,1657,0.1915,0.1875,33.12,32.13,1,,28,2026-08-25
4075,CALL,4387,4123,1535,0.1935,0.1895,30.62,29.71,0,,28,2026-08-25
4075,PUT,4387,4123,1535,0.1935,0.1895,39.38,38.19,0,,28,2026-08-25
4100,CALL,9800,9200,3500,0.1980,0.1940,25.40,24.70,1,,28,2026-08-25
4100,PUT,3200,3000,1200,0.1980,0.1940,45.10,43.80,1,,28,2026-08-25
4125,CALL,4200,3900,1450,0.2030,0.1990,20.20,19.60,0,,28,2026-08-25
4125,PUT,2800,2600,980,0.2030,0.1990,51.30,49.90,0,,28,2026-08-25
4150,CALL,3500,3250,1200,0.2090,0.2050,16.40,15.90,0,,28,2026-08-25
4150,PUT,2500,2300,860,0.2090,0.2050,58.60,56.80,0,,28,2026-08-25
